Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-NzLocation.json	3535	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	200	254	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzMedication.json	1953	1	0	12	0	0	0	0	0	5518	0	0	0	0	1	0	0	1	0	0	156	193	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-NzMedicationDispense.json	1529	0	0	17	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	188	165	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-NzMedicationRequest.json	3147	1	0	22	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	257	216	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-NzMedicationStatement.json	2304	0	0	10	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	162	117	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzOrganization.json	2915	0	0	12	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	166	119	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-NzPatient.json	10446	1	0	79	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	240	296	0	0	0	4	1	2
fsh-generated/resources/StructureDefinition-NzPractitioner.json	5510	1	0	17	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	202	153	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzPractitionerRole.json	2342	0	0	9	1	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	166	124	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-NzRelatedPerson.json	1169	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-acc-patient-occupation.json	1949	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	93	77	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-additional-authorisation.json	3299	1	0	2	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	138	110	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alias-type.json	1708	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	78	115	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-building-name.json	1727	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	86	80	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-on-practice.json	2810	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	138	82	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-contactpoint-purpose.json	2271	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	85	71	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-country-name.json	1724	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	79	69	0	0	0	1	0	0
